ville,code_postal,prix,pays,agence_adresse_telephone,adresse,site,annonce_link,agence_nom,totm2,titre_annonce
NICE,,Prix : 1 990 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-maison-nice-1648729.html,,450 , - annonce maison à vendre
,,,,04 93 87 41 15,,,,,,
,,,,02 40 11 83 12,,,,,,
,92200,,NEUILLY SUR SEINE,,105 AVENUE ACHILLE PERETTI,residence_immobilier,,"
            DANIEL FEAU NEUILLY        ",,
,69002,,LYON  2EME,,21 rue auguste comte ,residence_immobilier,,"
            R DU MONTELLIER IMMOBILIER SOTHEBY'S INTERNATIONAL REALTY         ",,
,,,,"04 93 34 73 00,04 93 43 49 49 ",,,,,,
CANNES,,Prix : 495 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-appartement-cannes-1650846.html,,107 , - annonce appartement à vendre
,,,,01 42 56 34 92,,,,,,
,,,,04 93 18 20 04,,,,,,
,,,,01 44 61 70 70,,,,,,
,56000,,VANNES,,8 Bis Rue Thiers ,residence_immobilier,,"
            AIM IMMOBILIER        ",,
,,,,+ 33 (0)4 93 74 74 74,,,,,,
,,,,01 42 56 34 92,,,,,,
,75016,,PARIS 16EME,,53 RUE D AUTEUIL,residence_immobilier,,"
            DANIEL FEAU AUTEUIL        ",,
,06230,,ST-JEAN-CAP-FERRAT,,1 avenue Denis Séméria,residence_immobilier,,"
            ENGEL & VÖLKERS CÔTE D'AZUR Cap Ferrat        ",,
,75006,,PARIS  6EME,,2 rue Vavin,residence_immobilier,,"
            DANIEL FEAU LUXEMBOURG        ",,
PARIS 16EME,,Prix : 1 580 000,,,,,http://www.residences-immobilier.com/fr/75/annonce-vente-appartement-paris-16eme-1650477.html,,158 , - annonce appartement à vendre
MONACO,,,,,,,http://www.residences-immobilier.com/fr/98/annonce-vente-appartement-monaco-1237650.html,,181 , - annonce appartement à vendre
LIMOGES,,Prix : 735 000,,,,,http://www.residences-immobilier.com/fr/87/annonce-vente-maison-limoges-1650443.html,,300 , - annonce maison à vendre
,98000,,MONACO,,"4 avenue des Citronniers,Le Mirabel",residence_immobilier,,"
            ROSENGART LUXURY REAL ESTATE        ",,
,,,,04 93 18 20 04,,,,,,
BRIGNOLES,,Prix : 2 699 000,,,,,http://www.residences-immobilier.com/fr/83/annonce-vente-maison-brignoles-1651243.html,,840 , - annonce maison à vendre
NICE,,Prix : 495 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-appartement-nice-1650424.html,,70 , - annonce appartement à vendre
PARIS 16EME,,Prix : 1 880 000,,,,,http://www.residences-immobilier.com/fr/75/annonce-vente-appartement-paris-16eme-1650457.html,,117 , - annonce appartement à vendre
VILLEFRANCHE-SUR-MER,,Prix : 890 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-appartement-villefranche-sur-mer-1524774.html,,975 , - annonce appartement à vendre
PARIS 17EME,,Prix : 1 155 000,,,,,http://www.residences-immobilier.com/fr/75/annonce-vente-appartement-paris-17eme-1651377.html,,86 , - annonce appartement à vendre
,75016,,PARIS 16EME,,86 AVENUE VICTOR HUGO,residence_immobilier,,"
            DANIEL FEAU VICTOR HUGO        ",,
,06000,,NICE,,"2 RUE HALEVY ,LE RUHL",residence_immobilier,,"
            NICE PROPERTIES PROMENADE        ",,
,75017,,PARIS 17EME,,82 Avenue De Wagram,residence_immobilier,,"
            SOTHEBY'S PARIS OUEST MONCEAU        ",,
,13100,,AIX-EN-PROVENCE,,21 Cours Sextius,residence_immobilier,,"
            Stephane Plaza Immobilier Aix En Provence        ",,
,75003,,PARIS  3EME,,64 RUE DES TOURNELLES ,residence_immobilier,,"
            ESPACES ATYPIQUES        ",,
,75008,,PARIS  8EME,,24 RUE DU BOCCADOR,residence_immobilier,,"
            EMILE GARCIN PARIS RIVE DROITE        ",,
LES PENNES-MIRABEAU,,Prix : 299 000,,,,,http://www.residences-immobilier.com/fr/13/annonce-vente-maison-les-pennes-mirabeau-1650838.html,,100 , - annonce maison à vendre
CANNES,,Prix : 1 100 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-appartement-cannes-1650520.html,,117 , - annonce appartement à vendre
,75006,,PARIS  6EME,,7 PLACE SAINT SULPICE,residence_immobilier,,"
            AGENCE VARENNE (6ème)        ",,
,74400,,CHAMONIX-MONT-BLANC,,174 RUE DU DR PACCARD,residence_immobilier,,"
            AGENCE IMMOBILIERE MODERNE        ",,
,06110,,LE CANNET,,282 rue saint sauveur ,residence_immobilier,,"
            CANNET PROPERTIES        ",,
,,,,01 84 79 82 16,,,,,,
,75017,,PARIS 17EME,,33 AVENUE DE VILLIERS,residence_immobilier,,"
            DANIEL FEAU 17E        ",,
,83400,,HYÈRES,,48 avenue Gambetta,residence_immobilier,,"
            CANAT et WARTON (HYERES)        ",,
,06210,,MANDELIEU-LA-NAPOULE,,391 AVENUE DU 23 AOUT ,residence_immobilier,,"
            LG PRESTIGE IMMOBILIER        ",,
,,,,01 43 29 15 11,,,,,,
,,,,+377 93 50 00 30,,,,,,
,84800,,L'ISLE-SUR-LA-SORGUE,,5 AVENUE DES 4 OTAGES,residence_immobilier,,"
            JANSSENS IMMOBILIER KNIGHT FRANK L'ISLE/SORGUE        ",,
,06400,,CANNES,,"45, La Croisette",residence_immobilier,,"
            AGENCE IMPACT        ",,
,75008,,PARIS  8EME,,140 RUE DU FAUBOURG SAINT HONORE,residence_immobilier,,"
            DANIEL FEAU SAINT HONORE        ",,
,,,,04 93 87 41 15,,,,,,
,,,,01 84 79 78 38,,,,,,
,,,,01 46 22 27 27,,,,,,
,,,,04 92 07 09 50,,,,,,
,,,,04 88 14 57 90,,,,,,
,,,,0493393939,,,,,,
,06400,,CANNES,,13 RUE PASTEUR,residence_immobilier,,"
            FINE AND COUNTRY        ",,
,,,,09.86.36.64.00,,,,,,
,06250,,MOUGINS,,"2, avenue de la Victoire",residence_immobilier,,"
            MICHAËL ZINGRAF Mougins        ",,
BIOT,,Prix : 848 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-maison-biot-1650492.html,,180 , - annonce maison à vendre
ST DENIS,,Prix : 947 000,,,,,http://www.residences-immobilier.com/fr/93/annonce-vente-maison-st-denis-1651229.html,,330 , - annonce maison à vendre
PARIS  7EME,,Prix : 4 200 000,,,,,http://www.residences-immobilier.com/fr/75/annonce-vente-appartement-paris--7eme-1651365.html,,196 , - annonce appartement à vendre
OPIO,,Prix : 1 295 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-maison-opio-1650849.html,,224 , - annonce maison à vendre
PARIS  8EME,,Prix : 1 395 000,,,,,http://www.residences-immobilier.com/fr/75/annonce-vente-appartement-paris--8eme-1650610.html,,105 , - annonce appartement à vendre
GRASSE,,Prix : 1 990 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-maison-grasse-1126748.html,,320 , - annonce maison à vendre
CHAMONIX-MONT-BLANC,,Prix : 2 470 000,,,,,http://www.residences-immobilier.com/fr/74/annonce-vente-maison-chamonix-mont-blanc-1651298.html,,115 , - annonce maison à vendre
,40150,,HOSSEGOR,,"37, avenue Maître Pierre",residence_immobilier,,"
            TERRES & OCÉAN Immobilier Real Estate ( Hossegor et Biarritz)         ",,
MOUGINS,,Prix : 2 400 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-maison-mougins-1650413.html,,"                    ,
        ", - annonce maison à vendre
MOUGINS,,Prix : 3 750 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-maison-mougins-1650412.html,,350 , - annonce maison à vendre
CANNES,,Prix : 549 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-appartement-cannes-1650850.html,,103 , - annonce appartement à vendre
MIREPOIX,,Prix : 770 000,,,,,http://www.residences-immobilier.com/fr/09/annonce-vente-maison-mirepoix-1642964.html,,340 , - annonce maison à vendre
,83700,,ST-RAPHAËL,,"555 avenue des golfs,57 avenue de Valescure",residence_immobilier,,"
            CANAT & WARTON ST RAPHAEL        ",,
,83370,,ST-AYGULF,,457 boulevard Honore de Balzac,residence_immobilier,,"
            Agence Immobilière le Loft         ",,
,06330,,ROQUEFORT-LES-PINS,,CHEMIN DU PLAN,residence_immobilier,,"
            BRUCE INTERNATIONAL PROPERTIES (Roquefort)        ",,
,,,,06 86 07 33 96,,,,,,
LE CANNET,,Prix : 2 200 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-maison-le-cannet-1650533.html,,295 , - annonce maison à vendre
,,,,01 58 12 02 02,,,,,,
,,,,0142710384,,,,,,
,83310,,GRIMAUD,,La Fons Couverte,residence_immobilier,,"
            SKILLINGTON JANSSENS IMMOBILIER GRIMAUD        ",,
MOUGINS,,Prix : 1 950 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-maison-mougins-1470707.html,,220 , - annonce maison à vendre
MOUGINS,,Prix : 1 750 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-maison-mougins-953758.html,,200 , - annonce maison à vendre
ST-AYGULF,,Prix : 715 000,,,,,http://www.residences-immobilier.com/fr/83/annonce-vente-maison-st-aygulf-1539099.html,,170 , - annonce maison à vendre
AGAY,,Prix : 1 590 000,,,,,http://www.residences-immobilier.com/fr/83/annonce-vente-maison-agay-1124751.html,,190 , - annonce maison à vendre
CANNES,,Prix : 960 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-appartement-cannes-1620087.html,,90 , - annonce appartement à vendre
VALBONNE,,Prix : 1 550 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-maison-valbonne-1650588.html,,250 , - annonce maison à vendre
,69006,,LYON  6EME,,"14, Quai Général Sarrail",residence_immobilier,,"
            BARNES LYON         ",,
,73120,,COURCHEVEL,,Rue de l'église,residence_immobilier,,"
            VALLAT ELEGANCE         ",,
MOUGINS,,Prix : 1 420 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-maison-mougins-1650742.html,,320 , - annonce maison à vendre
COURCHEVEL,,Prix : 1 970 000,,,,,http://www.residences-immobilier.com/fr/73/annonce-vente-maison-courchevel-1313266.html,,126 , - annonce maison à vendre
LYON  6EME,,Prix : 1 550 000,,,,,http://www.residences-immobilier.com/fr/69/annonce-vente-appartement-lyon--6eme-1650543.html,,149 , - annonce appartement à vendre
NICE,,Prix : 430 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-appartement-nice-1650852.html,,72 , - annonce appartement à vendre
NICE,,Prix : 990 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-appartement-nice-1389965.html,,106 , - annonce appartement à vendre
PORNICHET,,,,,,,http://www.residences-immobilier.com/fr/44/annonce-vente-maison-pornichet-1651381.html,,520 , - annonce maison à vendre
,,,,04 92 92 87 87,,,,,,
,,,,0492187090,,,,,,
,06400,,CANNES,,19 rue des serbes,residence_immobilier,,"
            WRETMAN ESTATE & CONSULTING        ",,
,06400,,CANNES,,"55, LA CROISETTE",residence_immobilier,,"
            JOHN TAYLOR CANNES        ",,
,06400,,CANNES,,"104, La Croisette",residence_immobilier,,"
            AGENCE MARLY PRIVILÈGE CANNES CROISETTE        ",,
,06400,,CANNES,,42/44 RUE DES SERBES ,residence_immobilier,,"
            CAI - CLAUDE ANDRÉ INTERNATIONAL         ",,
,75006,,PARIS  6EME,,12 RUE VAVIN,residence_immobilier,,"
            DAUPHINE RIVE GAUCHE (rue Vavin)         ",,
,,,,04 94 45 46 17,,,,,,
,,,,04 22 32 60 40,,,,,,
PARIS 16EME,,Prix : 4 450 000,,,,,http://www.residences-immobilier.com/fr/75/annonce-vente-appartement-paris-16eme-1650609.html,,270 , - annonce appartement à vendre
,06560,,VALBONNE,,13 AVENUE SAINT-ROCH,residence_immobilier,,"
            JOHN TAYLOR VALBONNE        ",,
,75016,,PARIS 16EME,,138 Avenue Victor Hugo,residence_immobilier,,"
            SOTHEBY'S PARIS OUEST VICTOR HUGO        ",,
,06480,,LA COLLE-SUR-LOUP,,ROUTE DE SAINT PAUL ,residence_immobilier,,"
            JOHN TAYLOR SAINT PAUL         ",,
,74000,,ANNECY,,5 RUE PAUL GUITON,residence_immobilier,,"
            DE MEYER IMMOBILIER SOTHEBY'S INTERNATIONAL REALTY        ",,
VILLEFRANCHE-SUR-MER,,Prix : 12 400 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-maison-villefranche-sur-mer-1392223.html,,500 , - annonce maison à vendre
,,,,02 40 11 83 12,,,,,,
,,,,04 93 54 93 42,,,,,,
,,,,04 79 08 33 33,,,,,,
,,,,04 22 32 60 40,,,,,,
,98000,,MONACO,,"20 Bd de Suisse,LE SAINT ANDRE",residence_immobilier,,"
            POWERS PROPERTIES        ",,
,06230,,ST-JEAN-CAP-FERRAT,,1 BIS AVENUE ALBERT 1ER,residence_immobilier,,"
            JOHN TAYLOR CAP FERRAT        ",,
,,,,04 93 18 20 04,,,,,,
,,,,04 78 15 90 90,,,,,,
,06160,,CAP D'ANTIBES,,"89, boulevard du Cap",residence_immobilier,,"
            GAROUPE CAP D'ANTIBES        ",,
MONACO,,Prix : 7 200 000,,,,,http://www.residences-immobilier.com/fr/98/annonce-vente-appartement-monaco-1405992.html,,206 , - annonce appartement à vendre
,,,,01 58 12 02 02,,,,,,
,,,,04 22 32 60 40,,,,,,
,06160,,JUAN-LES-PINS,,"4, boulevard Edouard Baudoin,Promenade du Soleil",residence_immobilier,,"
            AGENCE DU COLOMBIER        ",,
,06160,,CAP D'ANTIBES,,"125, boulevard Francis Meilland",residence_immobilier,,"
            CAP D'ANTIBES INTERNATIONAL         ",,
,75008,,PARIS  8EME,,3 RUE DE TEHERAN,residence_immobilier,,"
            DELUXE CONFIDENTIAL        ",,
ST MAURICE,,Prix : 1 450 000,,,,,http://www.residences-immobilier.com/fr/94/annonce-vente-appartement-st-maurice-1406621.html,,178 , - annonce appartement à vendre
,,,,04 93 76 02 38,,,,,,
NEUILLY SUR SEINE,,Prix : 4 500 000,,,,,http://www.residences-immobilier.com/fr/92/annonce-vente-maison-neuilly-sur-seine-1581376.html,,350 , - annonce maison à vendre
STE-MAXIME,,Prix : 730 000,,,,,http://www.residences-immobilier.com/fr/83/annonce-vente-maison-ste-maxime-1620623.html,,110 , - annonce maison à vendre
VALBONNE,,Prix : 2 490 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-maison-valbonne-1594697.html,,385 , - annonce maison à vendre
VIMINES,,Prix : 650 000,,,,,http://www.residences-immobilier.com/fr/73/annonce-vente-maison-vimines-1402702.html,,200 , - annonce maison à vendre
PARIS  8EME,,Prix : 1 800 000,,,,,http://www.residences-immobilier.com/fr/75/annonce-vente-appartement-paris--8eme-1620532.html,,104 , - annonce appartement à vendre
,,,,00 377 92 05 23 23,,,,,,
,,,,+ 33 (0)4 93 74 74 74,,,,,,
ST-PAUL-DE-VENCE,,Prix : 1 295 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-maison-st-paul-de-vence-1619686.html,,160 , - annonce maison à vendre
,75008,,PARIS  8EME,,18 rue de Marignan ,residence_immobilier,,"
            18 MARIGNAN        ",,
,75007,,PARIS  7EME,,9 AV RAPP,residence_immobilier,,"
            VENDOME ESTATE        ",,
,06400,,CANNES,,"9, la Croisette,Galerie de l'Hôtel Majestic",residence_immobilier,,"
            MAGREY & SONS        ",,
NICE,,Prix : 1 790 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-maison-nice-1285186.html,,220 , - annonce maison à vendre
,75003,,PARIS  3EME,,32 RUE DE TURENNE,residence_immobilier,,"
            DANIEL FEAU MARAIS        ",,
BRY SUR MARNE,,Prix : 758 000,,,,,http://www.residences-immobilier.com/fr/94/annonce-vente-appartement-bry-sur-marne-1406616.html,,124 , - annonce appartement à vendre
,,,,+33 (0)1 45 33 81 16,,,,,,
,,,,01 53 44 66 00,,,,,,
PARIS  5EME,,Prix : 578 000,,,,,http://www.residences-immobilier.com/fr/75/annonce-vente-appartement-paris--5eme-1595591.html,,46 , - annonce appartement à vendre
,,,,04 93 12 36 36,,,,,,
,,,,04 94 96 10 10,,,,,,
CAP D'ANTIBES,,Prix : 2 390 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-maison-cap-dantibes-1620766.html,,195 , - annonce maison à vendre
NEUILLY SUR SEINE,,Prix : 359 000,,,,,http://www.residences-immobilier.com/fr/92/annonce-vente-appartement-neuilly-sur-seine-1490327.html,,36 , - annonce appartement à vendre
CAP D'ANTIBES,,Prix : 4 980 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-maison-cap-dantibes-1203025.html,,295 , - annonce maison à vendre
PARIS  8EME,,Prix : 1 400 000,,,,,http://www.residences-immobilier.com/fr/75/annonce-vente-appartement-paris--8eme-1620716.html,,103 , - annonce appartement à vendre
BIARRITZ,,Prix : 445 000,,,,,http://www.residences-immobilier.com/fr/64/annonce-vente-appartement-biarritz-1515240.html,,62 , - annonce appartement à vendre
RAMATUELLE,,Prix : 9 900 000,,,,,http://www.residences-immobilier.com/fr/83/annonce-vente-maison-ramatuelle-1470703.html,,510 , - annonce maison à vendre
CANNES,,Prix : 11 900 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-maison-cannes-1325895.html,,440 , - annonce maison à vendre
LE VESINET,,Prix : 2 780 000,,,,,http://www.residences-immobilier.com/fr/78/annonce-vente-maison-le-vesinet-1537803.html,,350 , - annonce maison à vendre
PARIS  7EME,,Prix : 4 900 000,,,,,http://www.residences-immobilier.com/fr/75/annonce-vente-maison-paris--7eme-854946.html,,152 , - annonce maison à vendre
,,,,+33 01 40 60 50 00,,,,,,
,,,,04 50 230 230 ,,,,,,
,06400,,CANNES,,2 LA CROISETTE,residence_immobilier,,"
            AGENCE EUROPA        ",,
PARIS  7EME,,Prix : 1 955 000,,,,,http://www.residences-immobilier.com/fr/75/annonce-vente-appartement-paris--7eme-1595199.html,,122 , - annonce appartement à vendre
,06250,,MOUGINS,,760 chemin de la Tire,residence_immobilier,,"
            Coldwell Banker® Mondatta Real Estate        ",,
,06570,,ST-PAUL-DE-VENCE,,1119 Route de la Colle,residence_immobilier,,"
            CARLTON INTERNATIONAL        ",,
,06220,,GOLFE JUAN,,"39, Avenue des frères Roustan",residence_immobilier,,"
            ALEXANDRE LAGRELLE         ",,
,83780,,FLAYOSC,,51 blvd jean moulin,residence_immobilier,,"
            GESBERT IMMOBILIER        ",,
,,,,06 03 96 88 68,,,,,,
,,,,01 53 44 66 00,,,,,,
